action,trial,actionMs,allocatedBytes,maxFrameMs
menu.open,0,20.220,4147099,38.016
menu.tab.Friends,0,16.092,1896194,42.290
menu.tab.Crafting,0,6.106,887574,13.139
menu.tab.Dev Tools,0,4.781,369620,11.313
menu.tab.Inventory,0,18.601,4077619,38.295
dev.add.wood.menu,0,26.658,5920832,38.116
dev.add.wood.world,0,4.820,1271492,9.178
inventory.add.wood,0,4.798,1245288,10.956
inventory.add.tool,0,28.507,6358145,37.494
equip.tool,0,248.098,96777040,272.755
equip.wood,0,177.056,51234885,206.118
menu.open,1,3.520,93330,24.432
menu.tab.Friends,1,25.144,1555828,101.243
menu.tab.Crafting,1,4.633,525208,12.740
menu.tab.Dev Tools,1,2.068,288322,8.459
menu.tab.Inventory,1,27.186,5915567,54.862
dev.add.wood.menu,1,4.925,1485648,14.531
dev.add.wood.world,1,5.223,1526550,10.831
inventory.add.wood,1,5.491,1513080,13.588
equip.tool,1,130.857,49959170,151.385
equip.wood,1,131.860,49941253,151.499
menu.open,2,2.355,93458,11.507
menu.tab.Friends,2,12.442,1555764,64.892
menu.tab.Crafting,2,5.054,519448,14.181
menu.tab.Dev Tools,2,2.094,288322,10.238
menu.tab.Inventory,2,27.109,6297611,62.201
dev.add.wood.menu,2,5.590,1711668,15.221
dev.add.wood.world,2,5.830,1755974,11.462
inventory.add.wood,2,5.712,1743468,10.385
equip.tool,2,128.852,49975250,149.127
equip.wood,2,125.054,49961173,143.721
