action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs
chest.open,0,93.378,14641639,150.142,0.000,4.908,0.000
chest.open,0,56.373,12158404,98.901,0.000,0.000,0.000
bed.place,0,103.088,30199700,119.987,0.000,5.313,4.713
water.walk,0,0.009,164996,6.777,0.000,0.000,0.000
water.walk,0,0.001,166146,4.538,0.000,0.000,0.000
water.walk,0,0.001,4589699,26.712,0.000,0.000,0.000
water.walk,0,0.001,273258,7.701,0.000,0.000,0.000
water.walk,0,0.002,223246,5.556,0.000,0.000,0.000
water.walk,0,0.001,230998,4.225,0.000,0.000,0.000
water.walk,0,0.001,209466,4.362,0.000,0.000,0.000
water.walk,0,0.001,167058,4.312,0.000,0.000,0.000
water.walk,0,0.001,167210,4.673,0.000,0.000,0.000
water.walk,0,0.002,231606,5.089,0.000,0.000,0.000
water.walk,0,0.001,210074,4.731,0.000,0.000,0.000
water.walk,0,0.001,167666,3.842,0.000,0.000,0.000
water.walk,0,0.001,167818,3.628,0.000,0.000,0.000
water.walk,0,0.001,232214,4.600,0.000,0.000,0.000
water.walk,0,0.001,210682,4.191,0.000,0.000,0.000
water.walk,0,0.001,168274,3.333,0.000,0.000,0.000
water.walk,0,0.001,168426,2.910,0.000,0.000,0.000
water.walk,0,0.001,168578,4.080,0.000,0.000,0.000
water.walk,0,0.001,232974,4.326,0.000,0.000,0.000
water.walk,0,0.001,230710,7.092,0.000,0.000,0.000
water.walk,0,0.001,175949,4.440,0.000,0.000,0.000
water.walk,0,0.001,169186,4.555,0.000,0.000,0.000
water.walk,0,0.001,286760,13.195,0.000,0.000,0.000
water.walk,0,0.001,487799,11.937,0.000,0.000,4.434
water.walk,0,0.001,244700,6.159,0.000,0.000,0.000
water.walk,0,0.001,212810,4.980,0.000,0.000,0.000
water.walk,0,0.001,170402,2.948,0.000,0.000,0.000
water.walk,0,0.001,234798,5.225,0.000,0.000,0.000
water.walk,0,0.001,213266,5.101,0.000,0.000,0.000
water.walk,0,0.000,170858,3.097,0.000,0.000,0.000
water.walk,0,0.000,171010,2.825,0.000,0.000,0.000
water.walk,0,0.001,171162,4.228,0.000,0.000,0.000
water.walk,0,0.001,235558,5.062,0.000,0.000,0.000
water.walk,0,0.001,214078,5.761,0.000,0.000,0.000
water.walk,0,0.001,171618,3.346,0.000,0.000,0.000
water.walk,0,0.001,171770,4.532,0.000,0.000,0.000
water.walk,0,0.000,236166,4.073,0.000,0.000,0.000
water.walk,0,0.000,214634,5.969,0.000,0.000,0.000
water.walk,0,0.001,172226,4.088,0.000,0.000,0.000
water.walk,0,0.000,172378,3.092,0.000,0.000,0.000
water.walk,0,0.006,236774,5.922,0.000,0.000,0.000
water.walk,0,0.001,215242,5.470,0.000,0.000,0.000
water.walk,0,0.001,172834,4.550,0.000,0.000,0.000
water.walk,0,0.001,172986,4.311,0.000,0.000,0.000
water.walk,0,0.001,237382,5.004,0.000,0.000,0.000
water.walk,0,0.001,215850,5.098,0.000,0.000,0.000
water.walk,0,0.001,345181,5.194,0.000,0.000,0.000
