action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
chest.open,0,76.326,14611277,125.058,0.000,0.002,0.000,46.498,3.820,0.356,0.000,0.000,0.000,0.000,5.747,3.158,0.056,0.493,1.355,1.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000
chest.open,0,51.700,10904047,89.089,0.000,0.002,0.000,42.324,1.534,0.018,0.000,0.000,0.000,0.000,0.604,0.391,0.000,0.054,0.000,0.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000
bed.place,0,77.575,26835222,84.071,0.000,0.001,0.000,0.000,0.000,0.000,18.897,19.830,35.189,0.058,57.147,50.668,2.266,0.646,37.365,1.863,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.042,160428,4.717,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.392,0.188,0.000,0.035,0.000,0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,164356,4.659,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.272,0.115,0.000,0.029,0.000,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,164508,3.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.104,0.000,0.022,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,4351223,21.060,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.878,1.286,0.000,0.141,0.000,1.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,408454,7.667,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.676,0.508,0.000,0.035,0.000,0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,207524,5.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.251,0.105,0.000,0.023,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,165116,3.522,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.099,0.000,0.022,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,229560,5.381,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.650,0.493,0.000,0.027,0.000,0.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,218336,6.190,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236,0.107,0.000,0.024,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,165572,4.046,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.107,0.000,0.024,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.002,165724,3.719,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.102,0.000,0.024,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,230168,5.499,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.733,0.558,0.000,0.036,0.000,0.522,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,208588,4.924,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.095,0.000,0.023,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,166180,4.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.100,0.000,0.022,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
