action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
chest.open,0,61.223,14267753,103.920,0.000,0.002,0.000,40.591,3.458,0.013,0.000,0.000,0.000,0.000,4.750,2.651,0.052,0.416,1.290,0.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000
chest.open,0,47.616,10707057,83.847,0.000,0.001,0.000,39.721,1.517,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
bed.place,0,72.066,26702596,78.027,0.000,0.001,0.000,0.000,0.000,0.000,18.172,19.327,31.623,0.041,53.018,48.101,2.319,0.560,35.313,1.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.038,180496,4.796,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.366,0.176,0.000,0.028,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,4358398,20.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.923,1.357,0.000,0.150,0.000,1.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,271364,6.692,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.643,0.491,0.000,0.030,0.000,0.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,207220,5.578,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.105,0.000,0.021,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,301598,3.239,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.096,0.000,0.022,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,164964,3.698,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.088,0.000,0.020,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,229408,4.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.642,0.494,0.000,0.028,0.000,0.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000
